[6s] Hello 大家好 欢迎来到我的波客节目起初连兵课
[9s] 我是大伟 问
[10s] 又到了一年一度的年报机中的真是中国系列了
[14s] 首先还是给没有听过这个系列节目的朋友说明一下
[18s] 因为每年的三四月份是中国全部的商事公司
[22s] 集体发布上一年度年报的时间窗口
[26s] 所以我会集中在四月份月读超过三百分的年报
[31s] 里面包括我自己的一些池倉
[33s] 也包括我一直以来关注的公司
[35s] 当然也有比如说这一年最火热的
[39s] 最受关注的那些行业和企业
[43s] 他们的年报我都会进行一个阅读
[45s] 那具体的阅读方式的话
[47s] 其实主要是看里面的管理层的分析和讨论
[50s] 这一个章节也包括如果他有制股通的一封信
[54s] 或者是董事长支持
[56s] 那具体的一些细节
[57s] 如果感兴趣的朋友可以去听我的第24期
[61s] 叫做年报就是公司和行业的体检报告
[64s] 要读 但得有技巧
[66s] 第二点说明就是因为这几年以来
[69s] 越来越多的公司非常的紧言盛行
[72s] 在他们的年报里面体现出来的
[75s] 特别是对于宏观的思考和观察
[77s] 其实是越来越少的
[78s] 大家越来越多的就是论势
[81s] 说一下公司去年的一些经营情况
[85s] 以及也越来越多的报息不报忧
[88s] 对于一些风险等等的
[90s] 都不会摊在纸面上
[92s] 不会写成一个白纸黑字
[94s] 所以原来这个系列最早的初中
[97s] 大家可以听出来就是所谓的真实中国
[99s] 其实我是想从企业年报里看中国真实的宏观状况
[104s] 但这几年就越来越多的变成了
[106s] 我试图从这些年报里面去看产业看企业的真实状况
[111s] 当然某种程度上说
[113s] 这也更符合年报的一个初中 对吧
[116s] 这个系列也变得更加的误实了
[119s] 第三点要说明的就是我每年的这个系列节目
[122s] 其实是我现在维持不多
[124s] 会先写一篇文章就是公众号文章
[127s] 然后在这个基础上在做波克节目的这么一个系列
[132s] 而且因为我其实在文章里面会大量的摘超这些年报里
[137s] 我觉得写得很精彩的部分
[139s] 但是在波克节目里面因为音频的原因
[142s] 所以我不会把他们都堵出来
[144s] 所以还是非常建议
[145s] 大家如果感兴趣的话可以一步我的公众号
[148s] 其中一篇并课去看我的写的这篇文章内容
[152s] 好 那解释部分就到这里
[154s] 下面就让我们进入正题
[156s] 其实这几年我一直是带着一个问题去读公司的年报的
[161s] 那就是我们每年看到中国的GDP的增长
[165s] 一直是在5%左右
[167s] 当然这是一个实际的增长
[168s] 如果算上这几年的一个通缩的状况的话
[171s] 民意GDP的增长大概在4点几
[174s] 2025年的民意大概是3点9
[177s] 但是如果我们去看全A也就是所有A股上市公司的
[183s] 总的营收和他的规模经历论的话会发现
[187s] 两者之间其实是有一个GDP有一个检刀叉的
[190s] 比如说2023年的时候全A的营收增长是大概0.86%
[196s] 规模经历论是下降了1.56%
[199s] 而到了2024年其实会更严重一些
[202s] 营收下降了1.07%
[204s] 规模经历论下降了1.51%
[206s] 他是一个双降
[207s] 那么就跟GDP的增长之间有一个相当大的一个差距
[213s] 而到了2025年其实重新营收和规模经历论
[218s] 回归的一个增长
[220s] 但是如果我们去拆解来看
[223s] 就是现在很多的圈上报告已经发布了他们对于整个年报纪的总懒
[228s] 可以看出这3%的经历论增长几乎全不是
[234s] 有金融企业贡献的
[236s] 金融企业其实利润增长了6.7%
[239s] 而非金融企业其实金利润还是下降的
[241s] 下降了1.1%
[243s] 那这里面对于非金融企业来说
[246s] 其他的营业收入同比大概增长了0.8%
[250s] 那就意味着他的利润下降几乎完全是因为利润率收缩造成的
[255s] 当然这个也跟我们自己的一些体感
[257s] 比如说越来越多的行业在内卷
[260s] 在苦苦争扎是有一个匹配的
[264s] 当然我也知道其实GDP和所谓的上市公司的利润增长
[268s] 这件事不能化等号的这里边
[271s] 从宏观经济的研究角度来讲有非常多的不匹配
[275s] 比如说刚才说了GDP里面是有一个价格通缩的这几年
[280s] 所以民意GDP的增长因为所有的企业
[283s] 这个营收跟利润都是民意的一个数字
[286s] 它不考虑通脏
[287s] 所以并不应该去跟实际GDP增长去做一个对比
[291s] 另外很重要的一个问题就在于结构的挫配
[295s] 因为A股现在其实全中前几大行业依然是像银行、地产、建筑、白酒
[301s] 这些显然都是相对来说增长比较法力的这些行业
[306s] 而GDP里面的比如说像出口像去年其实贡献非常大
[311s] 它比较难体现在这些全中大的A股上市公司里面
[316s] 当然出此之外还有包括像同级口经的问题
[319s] 还有利势包覆出清的问题
[321s] 这些都排除不说的话
[324s] 我们还是从这个检刀查里面可以看出一个非常重要的问题
[329s] 就是现在中国企业面临的经营状况确实是非常的复杂和困难的
[336s] 这一点是无用质疑的
[337s] 我们也从很多企业的年报
[340s] 不管是它的管理层的经营分析
[342s] 还是它对风险的体式上面都可以看出来
[346s] 我举两个例子
[347s] 第一个来自于海尔之家
[349s] 它是一家家店的巨头
[351s] 大家都知道海尔集团
[352s] 那么它在年报中这么说
[354s] 它说2025年
[355s] 美国对中国出口的家店产品是以大额关税
[359s] 中国出口美国的高端家店需要重新配置供应链
[362s] 区域保护和飞贸易壁垒叠加
[365s] 中国企业出海面临的经营环境相比过往更加复杂
[369s] 俄武战争还在继续红海在叠加危机
[372s] 就这个基本上就描绘了一个2025年出口企业
[376s] 要面对的国际形势
[378s] 这个我们在后面会做进一步的一些展开
[381s] 那另外一个其实也是一家出口企业
[384s] 但是它所描绘的整个场景
[386s] 可能更加符合很多行业
[390s] 现在都在看到的一个情况
[392s] 那就是深洲国际
[393s] 深洲国际如果不熟悉的朋友
[395s] 简单介绍一下
[396s] 它是访智行业的龙头网者
[399s] 其实它会给很多的国际品牌去做代工
[402s] 包括像耐克等等的这些服势品牌
[406s] 它在今年的年报里面
[407s] 其实是用比过往长的多的篇幅去描述了问题
[411s] 但是不像海尔之家或者像美迪这些家电企业
[414s] 其实他们虽然我刚才说了
[416s] 他们描绘了一个这样的经营环境
[419s] 但最后都会重新转折回来说
[421s] 在这样的环境考验之下
[423s] 我们依然创出了
[424s] 比如说历史最好业绩等等的这些
[426s] 但深洲国际的年报中是这么讲的
[429s] 它说第一全球访智服装行业
[432s] 面临着多重压力与挑战
[435s] 第一个挑战是行业整体呈现出共强虚弱的运行格局
[439s] 就是共几强虚求弱
[441s] 国内产能受到内需付出法力
[444s] 海外需求转移及综合成本上涨等多重因素的几压
[448s] 部分企业采取以架换量的精英方式
[451s] 产能呈现持续向东南亚等地区转移的趋势
[455s] 这个显然也不光是访智行业
[457s] 就是内需的法力
[459s] 包括以架换量就是我降价
[461s] 然后换取一个收入的增长或者说量的提升
[465s] 这个我们在非常多的行业里面都可以看到
[468s] 其实我一直很关注的中国建材
[471s] 就是它是一个跟访智完全没有关系的行业
[475s] 但是因为它涉及到非常多种类的建材的生产和销售
[480s] 所以从它的数据可以看出来2025年是一个
[483s] 不像2024年
[484s] 2024年是价格也在往下走
[487s] 量也在往下走
[488s] 但到了2025年就出现了量
[490s] 其实已经开始尽暖回升了
[493s] 比如说像玻璃线威
[494s] 像它的一些施高版一些新的材料
[498s] 但是它的价格依然在往下走
[501s] 也就是深洲国际这里说的以架换量
[504s] 第二点 深洲国际说
[506s] 与此同时劳动力成本逐年上涨
[509s] 人民币对美元汇率波动加大了出口企业的汇对风险
[513s] 进一步压缩了行业引力空间
[515s] 其实这里它又点出了一个很重要的点
[517s] 就是一方面我们现在经常会说失业
[521s] 然后就业绿不足
[522s] 但另外一方面劳动力成本的提升
[525s] 确实是在实实在在发生的
[527s] 这个不光是在中国也发生在
[530s] 甚至是很多的东南亚这些发展中国家
[533s] 因为最近几年
[534s] 除了中国之外其实很多国家都面临着
[536s] 比较严峻的通脏的威胁
[539s] 所以这一块的成本上升
[541s] 其实对于行业引力空间
[543s] 是有一个进一步的压缩的
[546s] 第三个就是中东地区地园冲突
[549s] 导致国际原油价格大幅波动
[551s] 不仅推升了画线类原材料成本
[554s] 而且还造成了物流周期延长运输费用上涨
[558s] 当这点我觉得深周
[559s] 国际其实是已经在讲2026年的事情了
[562s] 但是接下来我们可以想象
[564s] 三四月份每一战争
[565s] 并没有得到一个很好的解决
[568s] 那么接下来不光是原油价格的问题
[570s] 而且会延着产业链往下传导
[573s] 像深周说到的画线类的原材料成本
[577s] 也包括了像物流 运输等等方面的一个成本
[580s] 其实会进一步的抬升
[582s] 这个对企业来说也是一个很大的进行压力
[585s] 那么最后一点就是
[586s] 美国关税政策的不确定性
[588s] 以及对转口贸易的素援和查力度加大
[592s] 对中国访智服装产品
[594s] 在美国市场的份额形成持续压力
[597s] 其实这个也不光是访智服装产品
[599s] 就是关税当然是一方面
[601s] 直到今天为止已经没有很多人去关注这个了
[604s] 但事实上2025年
[606s] 它确实给很多的企业造成了非常大的
[609s] 至少你不知道未来的经营到底应该去
[612s] 怎么去品判
[613s] 我要生产多少
[614s] 要销售多少
[615s] 要往外运多少这个问题
[617s] 另外它对于转口贸易的和查力度
[620s] 我觉得这个是在很多的企业的年报里面
[623s] 没有体现出来的
[624s] 但是我们可以想象
[626s] 其实美国打击的不光是从中国直接出口的这些产品
[631s] 中国显然把很多的产能
[633s] 包括把很多的商品先放到了东南亚
[636s] 或者是墨西哥这些地方
[637s] 再运入美国
[638s] 这个和查力度增加其实对于出口企业的影响也非常的大
[643s] 所以深洲国际其实点了五个点
[646s] 就是共区逝衡
[647s] 劳动力成本上升
[649s] 汇率波动
[649s] 地缘政治
[651s] 关税政策
[652s] 这五座大山其实压在了仿值行业的龙头身上
[657s] 首先我们可以想象
[658s] 对于那些没有那么大的企业来说
[661s] 行业企业来说其实影响会更大
[663s] 其次我也认为这五点很好的总结出来了很多行业
[668s] 不光是仿值行业正在面临的这种问题和困难
[673s] 甚至对于非出口型的企业来说这几点也非常的适用
[677s] 比如说像共区逝衡
[678s] 包括像劳动力成本上涨
[680s] 但是就像我
[681s] 最早说的其实现在的年报里面更多的企业都选择了沉默
[686s] 把这些苦果自己默默的吞下去
[689s] 然后只在里面展现相对好的一面
[692s] 只不过深洲国际把它点破了
[695s] 当然我们看到就是在整个中国这些产业经济的另外一头
[700s] 有着非常热火朝天的景象
[702s] 前几年这个景象可能出现在像新三样
[705s] 光服新能源车这些领域
[708s] 那2025年显然发生在像AI的这个产业链
[712s] 同时也发生在像上游资源企业这样的一个领域
[717s] 比如说像紫金框液它的年报里就写到说全球金属框液需求
[722s] 正经历结构性革命
[724s] 能源转型与算力时代的钢性拉动成为本轮
[727s] 框液周期中新需求的超级增量
[730s] 这些用的车都非常的重
[732s] 当然也跟它的业绩是匹配的
[735s] 另外那些光模块的公司年报
[737s] 我在这里就不坠数了
[739s] 每一家都非常的乐观
[741s] 都在讲说超大规模的人工智能
[744s] 算了一机确音会带来海量的高速光模块的需求
[748s] 甚至有一家我觉得本身跟AI
[752s] 应该是八杆子都打不着的
[755s] 企业是做轮胎模具跟这种工业的零部件
[760s] 起家的好麦科技
[761s] 其实当然也是我关注了很多年的一家
[764s] 可以说是隐形冠军的这么一个企业
[767s] 他在今年的年报里面都在说
[769s] 说近期全球燃机燃机指的是燃气轮机
[773s] 是最近很火的一种发电的方式
[777s] 说全球燃机三句头公布数据
[779s] G1的燃气轮机产能以受庆至2028年
[783s] 2029年也只剩下10%
[786s] 新闻子能源2025年卖出了194台燃机
[789s] 几乎是2024年的两倍
[791s] 三零重工计划在未来两年内
[793s] 将燃机的产能提高一倍
[795s] 那么好麦科技把这些产能跟销量的爆发
[800s] 规矩为什么呢
[801s] 就是AI数据中心的爆发式增长
[804s] 仍然是这一场燃机需求革命的核心去动力
[808s] 其实已经不光是2025年
[809s] 在前几年就已经开始发生了
[812s] 因为燃气轮机相对来说是比较
[814s] 清洁的一种发电的能源
[816s] 同时他又让美国的这些数据中心
[818s] 可以不用接入非常缓慢
[822s] 以及需要很长时间的电网
[824s] 可以自行的进行发电
[826s] 所以所有的数据中心都希望购买这个燃靴轮机
[830s] 所以你看这个就非常的有意思
[832s] 相当于是原本跟AI完全八杆子打不着的
[836s] 一个产业的上游
[839s] 因为好麦科技是做里面的一些零部件的
[842s] 也受到了整个AI训示的影响
[845s] 那么对它的业绩对它的产能利用率
[848s] 带来了非常大的一个好处
[850s] 它今年也带来做大量的产能扩张
[853s] 所以在我看过这么多年
[855s] 我是从2019年就开始做这个系列的
[858s] 可以说2025年各个产业面临的情况是
[864s] 最复杂最不一样的
[865s] 就每一年我们都可以这么说
[867s] 但是每一年都会比上一年更加的复杂
[870s] 可能前几年我们还可以找到一个共同的主题
[873s] 比如说在疫情期间
[875s] 然后后一期时代
[877s] 那么到2023、2024年的一个复苏等等的这些
[881s] 但是2025年真的太不一样了
[884s] 2024年的时候我引用了航空地产的
[888s] 创始人陈锡松老先生
[890s] 他在年报里面说的一句话
[892s] 就说我们要先看如何安度接下来的几个年头
[897s] 且家们大多讨论的也是
[899s] 如何安度接下来的数个年头
[901s] 我当时在去年的这篇文章跟节目里面
[904s] 用的关键词是进化
[906s] 就是中国企业需要进化才能去安度这些年头
[910s] 那么进化是一个动作
[912s] 讲的是企业怎么动
[913s] 但今年我想用的关键词就变成了重构
[918s] 重构其实是一种认知
[919s] 讲的是企业怎么想
[921s] 因为我越读了这么多份年报之后
[924s] 我发现现在的企业家们
[925s] 就是还愿意在年报里发生的这些企业家们
[929s] 已经不是在一个安度的与经历了
[932s] 他们中间的很多人
[933s] 其实已经把过去几年熬出来的
[935s] 那些蒙龙的判断
[937s] 用一种更加清晰的语言
[939s] 表达了出来
[940s] 去描绘这个乱计员描绘这个新世界
[944s] 那我也希望在今天的这期节目里面
[946s] 跟大家去分享他们的一些所思所想
[950s] 首先第一个词是来描绘红关情况的
[954s] 也是我们其实比较熟悉的一个词
[957s] 那就是K型分化美低集团在年报里
[959s] 这么说时代红榴滚滚
[961s] 我们都在其中K型分化正加速重速
[964s] 国家行业企业和个体的命运
[968s] 其实K型分化或者说K型复苏这个词
[971s] 这几年非常的受关注
[973s] 一开始是因为大家用它来描述
[975s] 疫情后美国不同行业复苏路径
[979s] 非常的不一样
[980s] 有的行业就快速复苏以及一路向上
[984s] 但有些行业就一直趴在地上
[986s] 对吧
[986s] 后来其实越来越多的被用在了分配领域
[989s] 就是指的是这个劳动者的工资以及用
[994s] 资本去进行分配的这个阶层
[996s] 他们的收入以及财富增长的趋势
[999s] 出现了一个大幅的分化
[1000s] 那么用在今年的中国的产业层面
[1004s] 我倒觉得这个词也非常的合适
[1007s] 不光是因为产业之间出现了大幅分化
[1009s] 也因为他们业籍分化背后的原因
[1012s] 出现了非常明显的一些差别
[1016s] 那么K型首先有下面这一层
[1018s] 先来跟大家讲一些比较 bad news
[1020s] 比较喪气的一些情况
[1023s] 最典型的就是房地产
[1024s] 房地产行业 2025年依然是在
[1027s] 用的好听点叫寻底
[1029s] 用的不好天音点就是破罐子破摔
[1031s] 这里的典型代表就是万科
[1034s] 万科已经彻底轮为贴落天使了
[1037s] 他在 2025年创下了接近一千亿人民币的
[1040s] 亏损记录
[1041s] 而且他还把他的亏损原因
[1043s] 其实是非常清晰的列了出来
[1046s] 我们也可以从中间看到
[1048s] 处在一个行业下行期的公司
[1050s] 都是怎么把钱给亏掉的
[1052s] 第一点就是房地产开发项目
[1054s] 结算规模显著下降
[1056s] 毛利率扔处在低位
[1058s] 这一点当然非常好理解
[1059s] 就是他的主营业务出了问题
[1061s] 因为他现在去结算的这些项目
[1064s] 都是202324年销售的项目
