[12s] 你好 欢迎来到投资ABC
[14s] 这是一档有有之有型
[16s] 出品的波克节目
[17s] 在这里我们会和成功博士一起
[20s] 探索那些投资中繞不开的知识
[23s] 我是Amy
[24s] 今天是解读
[25s] 中国大类资产投资2025年报的最后一期
[29s] 贤量期
[30s] 我们分别聊了股票和债券
[32s] 而这一期
[33s] 我想把目光转向这份年报背后的人
[37s] 说起来
[38s] 我第一次打开这份年报的时候
[40s] 心情是有一些复杂的
[42s] 一方面他真的很好看
[44s] 漂亮的配色可以交互的投表
[47s] 让我觉得很少新愿目
[49s] 但另一方面
[50s] 现在说起来也有些坦特
[52s] 但是当公式 树羽和一大串数据
[56s] 就这样像我碰过来的时候
[58s] 我的大脑也开始慢慢放空
[61s] 那种感觉就有点像是
[63s] 小时候看百科全书
[65s] 图片都看了
[66s] 自好像也都看了
[68s] 但是知识就是没有
[70s] 设立的留静我的脑子里
[72s] 所以有一天
[73s] 我就冲没苦恋的问
[75s] 参与制作年报的伙伴们
[77s] 我说
[77s] 你们天天和这些投表呀
[79s] 公式数据呆在一起
[81s] 真的会觉得
[83s] 他们对自己的投资有帮助吗
[86s] 结果聊着聊着
[87s] 我才发现他们的回答很有趣
[90s] 对他们而言
[91s] 这份年报不是做完就结束的学术材料
[95s] 而是能够在真实的生活中
[97s] 深远的影响他们投资决策的
[99s] 很重要的矛点
[100s] 比如说
[101s] 市场跌得让人心慌的时候
[104s] 他们可以提醒自己
[105s] 市场本身就是有周期的
[108s] 做资产配置的时候
[109s] 可以去多看一眼
[111s] 不同资产的配置比例
[113s] 刷到一个看似收益很高的产品
[116s] 他们也会停下来多问一句
[118s] 哎
[118s] 这些收益背后的风险
[120s] 是不是我能够承担的
[121s] 我觉得他们的故事很精彩
[123s] 所以我也想分享给你
[125s] 这三位参与制作年报的伙伴
[127s] 分别是负责数据的精动
[130s] 负责设计的港港
[131s] 以及负责文字编辑的同同
[133s] 我想听他们聊聊
[135s] 在制作这份年报的过程当中
[137s] 自己的哪些东西被改变了
[140s] 如果你也曾打开这份年报
[142s] 觉得
[142s] 哎
[143s] 看起来实在是有些太复杂
[145s] 希望这一期节目
[147s] 能像一次轻松的串门
[149s] 听几位伙伴
[150s] 聊聊他们的故事
[152s] 或许你会发现
[153s] 这份年报
[154s] 离我们的日常投资
[156s] 其实并不遥远
[157s] 弄大同同和港港做课投资ABC
[169s] 要不要先跟听众朋友们打个招呼呢
[172s] 我是精动
[173s] 然后在这次SBBI里边
[174s] 主要就是负责做这个数据的方面的筛选
[177s] 整理
[178s] 然后包括公式方面的这些计算
[180s] 这些东西
[181s] 哈喽大家好
[182s] 我是港港
[183s] 我是SBBI
[185s] 中国大类资产投资年报的设计师
[190s] 也是有旧性的设计师
[193s] 这次图文真的好美
[194s] 就是你让我拿到网页板的第一秒
[196s] 我都根本没看字写什么
[198s] 我就一直在拖那个图
[199s] 我就一直在看那个颜色的色彩分类
[202s] 我觉得很赏心愿慕
[203s] 好了
[204s] 那就轮到我介绍了
[205s] 我就是你不看的那个文字的
[207s] 负责和颜系的同同
[210s] 其实很合理
[211s] 因为SBBI的文字风格
[214s] 我们内部有很多的探讨
