[0s] 我講講我的底層的投哲學吧
[3s] 就是十二個字
[5s] 第一個是跟隨趨勢
[7s] 第二個就是學習常識
[11s] 第三個是擁抱創新
[14s] AI可能不能夠給你創新的東西
[18s] 但是它給你的最無穩健的底盤
[23s] 跟隨趨勢
[25s] 不要跟趨勢作對
[28s] 你想獲得超額
[30s] 那你就不能偷懶
[31s] 你得自己做功課
[33s] 你指望
[34s] AI在創新這個方向上
[38s] 獲得極大的超額的賠率
[40s] 這個性能
[41s] 趨勢讓你能夠紙寸
[43s] 只有學習常識的話
[46s] 才能提高你的勝率
[48s] 但是你要想要賠率
[51s] 必須擁抱創新
[53s] 你
[54s] 老師在那兒閱讀
[56s] 明天你不去擁抱它
[58s] 你怎麼能獲得真正的知識呢
[93s] 那第二次是2007年的10月16號
[96s] 著名的6124點
[98s] 也就是A股的歷史最高點
[100s] 原於股改的超級大牛市
[102s] 不過一年就跌回到了1664點
[105s] 第三次是2015年的6月12號
[109s] 5178點也是一個高峰
[113s] 槓桿配資牛
[114s] 股災跌到了2638點
[117s] 第四次是2021年的28號
[120s] 3731點
[122s] 算是白馬核心資產的結構性牛市
[125s] 隨後兩年正當下行
[127s] 一直到我們最近比較熟悉的2024年的924
[131s] 然後就是現在了
[133s] 當然現在的這個頂
[134s] 其實大家並不知道在哪裡
[136s] 也許是前半段也許是後半段
[138s] 新進投資者肯定是非常嗨的
[141s] 但老牌投資者肯定心已經開始虛了
[144s] 今天我們的嘉賓
[146s] 這五次大頂都經歷了
[149s] 從牛熊轉換創業週期的角度
[151s] 是非常有老資格的
[153s] 他是看門德資本的董事長
[155s] 基金經理丁寧
[156s] 丁寧總有超過30年的正券從業經歷
[159s] 經歷了植古票紅麻甲
[161s] 第一批公務基金
[163s] 五權分制改革
[164s] 電話元年直到今天的AI時代
[167s] 這期節目我覺得對大家來講
[169s] 最有價值的部分
[170s] 就是聽一下一位正券從業30年
[173s] 私募基金投資12年
[175s] 能夠一直活著
[176s] 而且活得挺好
[177s] 甚至是非常好
[179s] 他的投資理念有什麼特別之處
[181s] 這種理念以及框架
[183s] 在漫長的牛熊轉換中
[185s] 又是怎麼跌帶的
[186s] 最後你一定能發現
[188s] 一個長年以來業績穩定
[190s] 且可以說成功的投資策略
[192s] 他需要具備哪些要素
[194s] 丁總代您入行多少年了
[199s] 可能32年吧
[202s] 你這32年試指
[204s] 就是從進入到金融行業的第一步開始算
[207s] 我一進入進入到正券行業
[209s] 正券行業
[211s] 現在是2026年
[213s] 30年差不多就是94年
[215s] 94年可能很多聽眾
[218s] 那時候還沒出生
[220s] 能不能大家幫我們先描述一下
[222s] 94年的中國正券市場
[224s] 是個什麼樣的狀態
[226s] 您當然入行的時候
[227s] 大概是一個什麼環境
[229s] 94年我入行的時候
[231s] 還有植股票
[233s] 咱們北京的
[235s] 北京的那個城鄉
[237s] 西南商場
[239s] 那時候我在
[241s] 營業部實習的時候
[243s] 我們要提前一天
[245s] 把那個植股票蓋上帳
[247s] 一個說了一個說了一說的蓋
[249s] 你當時那個工作是什麼
[251s] 就是蓋章嗎
[252s] 還是蓋章是其中的一個具體的工作
[255s] 我的工作呢
[257s] 首先是11週
[259s] 然後94年的8月1號
[261s] 我那個正式都入職
[265s] 那一天是什麼概念
[268s] 谷指跳空10%
[272s] 然後在一個半月
[274s] 從300多點長到了1052點
[279s] 長3倍就一個半月
[282s] 從94年的8月1號到
[286s] 94年的9月23號
[288s] 好像是長到了1052點
[293s] 是不是很精心動迫
[297s] 首先它是一個初期的
[300s] 野蠻深掌的一個市場
[302s] 那個時候的科技
[305s] 沒現在怎麼發達
[306s] 那時候我在95年
[309s] 在交易所做了紅馬家
[312s] 那時候報單呢
[314s] 都是通過電話
[316s] 這邊營業部有個階單員
[318s] 我們在廠內叫廠內交易員
[321s] 我們是穿那個紅馬甲的
[324s] 廠內的話呢
[325s] 就是有黃馬甲
[327s] 管這些紅馬甲的
[329s] 一到中午吃飯的時候
[331s] 你就看上海外攤
[333s] 全是戶拉拉的
[335s] 穿著紅馬甲的人
[336s] 那是一道亮麗的風景線
[340s] 那麼我們接單手敲進去
[344s] 去完成這個交易
[346s] IT系統也沒那麼完善
[349s] 那個時候敲進去單子
[352s] 回來的那個成交
[355s] 有時候呢
[356s] 有很多的露動
[359s] 那時候我們的櫃攤軟件
[361s] 都是營業部的IT人員編程
[366s] 那時候用Flops Pro出現問題
[369s] 我們的工程師打開那個程序
[372s] 直接在裡頭就改數據庫
[375s] 現在想想那個時候多可怕
[377s] 太手搓了
[378s] 手搓的呀
[379s] 完全手搓的
[380s] 我們跑登領公司
[382s] 一開始還沒有貓的呢
[384s] 都是拿一張軟盤
[387s] 你這兒一張軟盤
[389s] 然後到登領公司
[390s] 跟他拿軟盤去交換數據
[393s] 然後把那個對張單打回來
[395s] 咱對一下讓
[396s] 是這樣一個狀態
[398s] 我還記得呢
[399s] 我們拖碗那個國債
[402s] 把那個國債
[404s] 光機光機
[405s] 包裹起來
[406s] 放到那個箱子裡頭
[408s] 遞到那個拖罐
[409s] 那兒存放進
[410s] 這裡別人的話呢
[412s] 就是很不完善
[414s] 應該是
[415s] 和現在的這個環境是
[417s] 完全不一樣的
[418s] 當然你肯定在那時候
[420s] 因為沒有後續的這個事
[422s] 所以可能也感受不到
[423s] 他有懂得不完善
[425s] 沒事在那個環境裡
[426s] 你還覺得還可以說
[427s] 當時的話
[428s] 我覺得
[429s] 在正確營業部
[432s] 那還是挺風光的
[435s] 而且那個時候算是一個新興事務
[437s] 新興事務
[438s] 您現在
[439s] 大家都要搶客戶去開戶
[442s] 那個時候
[443s] 那是客戶的求著我們開戶
[445s] 因為開戶的產能嚴重不足
[448s] 你沒有三萬塊錢
[450s] 你開不了戶
[452s] 你現在是三萬
[453s] 我記得是三萬
[455s] 那時候
[456s] 大概有多少支股票
[458s] 股票不多
[460s] 大概幾十支吧
[463s] 只有幾十支股票
[464s] 肯定也並沒有現在
